name	aboundance
gene_100090|GeneMark.hmm|564_nt|-|842|1405|>k141_68112|flag=1|multi=5.0000|len=1519	4.142445751705797e-05
gene_100116|GeneMark.hmm|4431_nt|-|2|4432|>k141_60165|flag=1|multi=10.0000|len=4433	2.626415289326103e-05
gene_10014|GeneMark.hmm|543_nt|-|29|571|>k141_9551|flag=1|multi=2.0000|len=573	0.00010192883154372407
gene_100180|GeneMark.hmm|1467_nt|+|1|1467|>k141_66108|flag=1|multi=5.0000|len=2391	3.967373061449655e-05
gene_100181|GeneMark.hmm|1836_nt|+|2286|4121|>k141_64713|flag=1|multi=7.0000|len=8748	7.767714036958637e-05
gene_100182|GeneMark.hmm|747_nt|+|4127|4873|>k141_64713|flag=1|multi=7.0000|len=8748	4.1802743656912075e-05
gene_10018|GeneMark.hmm|387_nt|-|3|389|>k141_9555|flag=1|multi=2.0000|len=389	0.0001496178992582685
gene_100191|GeneMark.hmm|1134_nt|-|125|1258|>k141_68317|flag=1|multi=25.0000|len=1366	4.626499428574439e-05
gene_100223|GeneMark.hmm|741_nt|+|480|1220|>k141_64737|flag=1|multi=3.0000|len=1393	4.770603509136594e-05
gene_10022|GeneMark.hmm|948_nt|+|3|950|>k141_9559|flag=1|multi=4.0000|len=1282	0.00030632296216561285
gene_10029|GeneMark.hmm|636_nt|-|2|637|>k141_9565|flag=1|multi=2.0000|len=637	0.00013705187475227575
gene_1002|GeneMark.hmm|318_nt|+|1|318|>k141_961|flag=1|multi=2.0000|len=502	0.00018302315349517752
gene_10031|GeneMark.hmm|813_nt|-|2|814|>k141_9567|flag=1|multi=2.0000|len=1182	0.00010725066857149837
gene_100334|GeneMark.hmm|447_nt|-|1|447|>k141_64802|flag=1|multi=4.0000|len=448	0.00013020439107710614
gene_10036|GeneMark.hmm|456_nt|-|1|456|>k141_9571|flag=1|multi=3.0000|len=456	0.00012763456756900536
gene_100399|GeneMark.hmm|1749_nt|+|270|2018|>k141_64850|flag=1|multi=7.0000|len=2212	2.8841111403105274e-05
gene_10042|GeneMark.hmm|2013_nt|-|1109|3121|>k141_9499|flag=1|multi=4.0000|len=3121	2.7972458896891914e-05
gene_100434|GeneMark.hmm|753_nt|+|77|829|>k141_64870|flag=1|multi=5.0000|len=1159	7.02067102671489e-05
gene_100444|GeneMark.hmm|1560_nt|+|4618|6177|>k141_62081|flag=1|multi=5.0000|len=6663	1.413340524804916e-05
gene_100462|GeneMark.hmm|564_nt|-|5444|6007|>k141_62091|flag=0|multi=51.7690|len=110443	9.688923391287906e-06
gene_100474|GeneMark.hmm|1236_nt|-|17923|19158|>k141_62091|flag=0|multi=51.7690|len=110443	3.0379665315516465e-06
gene_100476|GeneMark.hmm|1188_nt|-|19419|20606|>k141_62091|flag=0|multi=51.7690|len=110443	4.23672931268561e-06
gene_100481|GeneMark.hmm|1107_nt|-|24138|25244|>k141_62091|flag=0|multi=51.7690|len=110443	2.3055523217979103e-06
gene_100488|GeneMark.hmm|2904_nt|+|32834|35737|>k141_62091|flag=0|multi=51.7690|len=110443	4.885807102845771e-06
gene_10048|GeneMark.hmm|915_nt|-|2|916|>k141_9580|flag=1|multi=3.0000|len=916	0.00019061581706812154
gene_100490|GeneMark.hmm|1479_nt|+|37436|38914|>k141_62091|flag=0|multi=51.7690|len=110443	2.2434610735776243e-06
gene_100490|GeneMark.hmm|339_nt|-|92|430|>k141_77784|flag=1|multi=3.0000|len=431	0.00013535200653829406
gene_100492|GeneMark.hmm|2082_nt|-|40742|42823|>k141_62091|flag=0|multi=51.7690|len=110443	2.038671840300765e-06
gene_100493|GeneMark.hmm|5502_nt|+|42949|48450|>k141_62091|flag=0|multi=51.7690|len=110443	3.6037995548895633e-06
gene_100495|GeneMark.hmm|1110_nt|+|49528|50637|>k141_62091|flag=0|multi=51.7690|len=110443	1.1493841027601643e-06
gene_100500|GeneMark.hmm|981_nt|+|54010|54990|>k141_62091|flag=0|multi=51.7690|len=110443	1.0583990327598917e-06
gene_100513|GeneMark.hmm|1113_nt|+|68887|69999|>k141_62091|flag=0|multi=51.7690|len=110443	8.314599181626372e-07
gene_100514|GeneMark.hmm|1086_nt|-|69941|71026|>k141_62091|flag=0|multi=51.7690|len=110443	8.194374287087327e-07
gene_100516|GeneMark.hmm|840_nt|-|72136|72975|>k141_62091|flag=0|multi=51.7690|len=110443	1.1963281153436062e-06
gene_10051|GeneMark.hmm|897_nt|-|3|899|>k141_9583|flag=1|multi=3.0000|len=900	0.00012948022872406328
gene_100526|GeneMark.hmm|2466_nt|-|85564|88029|>k141_62091|flag=0|multi=51.7690|len=110443	9.917418602642275e-07
gene_100627|GeneMark.hmm|1230_nt|+|1186|2415|>k141_68560|flag=1|multi=4.0000|len=2869	4.819988638630761e-05
gene_100634|GeneMark.hmm|2766_nt|+|2|2767|>k141_68410|flag=1|multi=6.0000|len=5912	2.103410293150215e-05
gene_100635|GeneMark.hmm|1728_nt|+|2878|4605|>k141_68410|flag=1|multi=6.0000|len=5912	4.4235563483199255e-05
gene_100647|GeneMark.hmm|633_nt|-|764|1396|>k141_68421|flag=1|multi=5.0000|len=3199	4.169152063858628e-05
gene_100649|GeneMark.hmm|936_nt|-|2058|2993|>k141_68421|flag=1|multi=5.0000|len=3199	1.9445827868849463e-05
gene_10066|GeneMark.hmm|3855_nt|-|131|3985|>k141_6348|flag=1|multi=9.0000|len=4136	1.4605109864859835e-05
